37572352	37572352
36252664	36252664
35952796	35952796
36903836	36903836
34293606	34293606
34818800	34818800
35807660	35807660
36079683	36079683
37483702	37483702
38701238	38701238
38681585	38681585
29127868	29127868
35792867	35792867
39771191	39771191
34146410	34146410
16659280	16659280
30912382	30912382
31539944	31539944
33899401	33899401
34454157	34454157
35595294	35595294
29733137	29733137
29710668	29710668
21676489	21676489
29882362	29882362
15077629	15077629
34072503	34072503
30411567	30411567
34371657	34371657
40094601	40094601
40265835	40265835
12595141	12595141
29692073	29692073
29974704	29974704
15361526	15361526
27593468	27593468
35684189	35684189
31957387	31957387
10773334	10773334
40281664	40281664
24830246	24830246
15448179	15448179
32689140	32689140
38914342	38914342
33838057	33838057
38970337	38970337
24380340	24380340
23705389	23705389
19939947	19939947
25685457	25685457
12181894	12181894
22007452	22007452
25011295	25011295
32476342	32476342
12682990	12682990
